FNFNUM,TAXON,TAXAUTHOR,GENUS,SPECIES,SUBSPECIES,VARIETY,FORMA,CULTIVAR,SPAUT,SPSAUT,SPVAUT,SPFAUT,CULTAUT,FAMILY,SPCMT,PLCO,TAXNO,VALIDTAXNO,GRINVERIFY,USEAGE,USERID,CREATED,MODIFIED
"2336","Mahonia bealei","(FORTUNE) CARRIERE","Mahonia","bealei","","","","","(FORTUNE) CARRIERE","","","","","Berberidaceae","Synonyms: Berberis bealei, Berberis japonica var. bealei","","105071","105071","","M","DUKE","28-JUN-00","15-JUL-05"
"2337","Mahonia fargesii","","Mahonia","fargesii","","","","","","","","","","Berberidaceae","","","","","","M","DUKE","28-JUN-00","15-JUL-05"
"2338","Mahonia fortunei","(LINDL.) FEDDE","Mahonia","fortunei","","","","","(LINDL.) FEDDE","","","","","Berberidaceae","Synonyms: Berberis fortunei","","23159","23159","","M","DUKE","28-JUN-00","15-JUL-05"
"2339","Mahonia gracilipes","(OLIV.) FEDDE","Mahonia","gracilipes","","","","","(OLIV.) FEDDE","","","","","Berberidaceae","","","","","","M","DUKE","28-JUN-00","15-JUL-05"
"2340","Mahonia japonica","(THUNB.) DC.","Mahonia","japonica","","","","","(THUNB.) DC.","","","","","Berberidaceae","Synonyms: Ilex japonica","","23162","23162","","M","DUKE","28-JUN-00","15-JUL-05"
"2341","Mahonia nervosa","(PURSH) NUTT.","Mahonia","nervosa","","","","","(PURSH) NUTT.","","","","","Berberidaceae","Synonyms: Berberis nervosa","","23169","23169","","M","DUKE","28-JUN-00","15-JUL-05"
"2342","Mahonia philipinensis","","Mahonia","philipinensis","","","","","","","","","","Berberidaceae","","","","","","M","DUKE","28-JUN-00","15-JUL-05"
"2343","Mahonia siamensis","TAKEDA","Mahonia","siamensis","","","","","TAKEDA","","","","","Berberidaceae","","","23174","23174","","M","DUKE","28-JUN-00","15-JUL-05"
"2345","Lippia javanica","(BURM. F.) SPRENG.","Lippia","javanica","","","","","(BURM. F.) SPRENG.","","","","","Verbenaceae","Synonyms: Verbena javanica Burm. f.","","408267","408267","","M","DUKE","25-JUL-00","15-JUL-05"
"2344","Hyptis dilatata","","Hyptis","dilatata","","","","","","","","","","Lamiaceae","","","","","","M","DUKE","26-JUL-00","15-JUL-05"
"2346","Isodon grandifolius","","Isodon","grandifolius","","","","","","","","","","Lamiaceae","","","","","","M","DUKE","26-JUL-00","15-JUL-05"
"2347","Lepechinia hastata","","Lepechinia","hastata","","","","","","","","","","Lamiaceae","","","","","","M","DUKE","26-JUL-00","15-JUL-05"
"2348","Lepechinia urbanii","","Lepechinia","urbanii","","","","","","","","","","Lamiaceae","","","","","","M","DUKE","26-JUL-00","15-JUL-05"
"2349","Podocarpus koordersii","","Podocarpus","koordersii","","","","","","","","","","Podocarpaceae","","","","","","M","DUKE","26-JUL-00","15-JUL-05"
"2350","Salvia africana-lutea","L.","Salvia","africana-lutea","","","","","L.","","","","","Lamiaceae","Synonyms: Salvia aurea L.","","","","","M","DUKE","26-JUL-00","15-JUL-05"
"2351","Salvia chinopeplica","","Salvia","chinopeplica","","","","","","","","","","Lamiaceae","","","","","","M","DUKE","26-JUL-00","15-JUL-05"
"2352","Salvia columbariae","BENTH.","Salvia","columbariae","","","","","BENTH.","","","","","Lamiaceae","","","315102","315102","","M","DUKE","26-JUL-00","15-JUL-05"
"2353","Salvia mellifera","","Salvia","mellifera","","","","","","","","","","Lamiaceae","","","430895","430895","","M","DUKE","26-JUL-00","15-JUL-05"
"2354","Salvia munzii","","Salvia","munzii","","","","","","","","","","Lamiaceae","","","","","","M","DUKE","26-JUL-00","15-JUL-05"
"2355","Lepechinia meyenii","","Lepechinia","meyenii","","","","","","","","","","Lamiaceae","","","","","","M","DUKE","26-JUL-00","15-JUL-05"
"2356","Pulicaria salviaefolia","","Pulicaria","salviaefolia","","","","","","","","","","Asteraceae","","","","","","M","DUKE","26-JUL-00","15-JUL-05"
"2357","Salvia apiana","JEPS.","Salvia","apiana","","","","","JEPS.","","","","","Lamiaceae","","","32906","32906","","M","DUKE","26-JUL-00","15-JUL-05"
"2358","Salvia willeana","","Salvia","willeana","","","","","","","","","","Lamiaceae","","","","","","M","DUKE","26-JUL-00","15-JUL-05"
"2359","Capparis tomentosa","LAM.","Capparis","tomentosa","","","","","LAM.","","","","","Capparaceae","","","411704","411704","","M","DUKE","18-AUG-00","15-JUL-05"
"2360","Heracleum sphondylium","L.","Heracleum","sphondylium","","","","","L.","","","","","Apiaceae","","","70346","70346","","M","DUKE","25-AUG-00","15-JUL-05"
"2361","Albizia lebbeck","(L.) BENTH.","Albizia","lebbeck","","","","","(L.) BENTH.","","","","","Fabaceae","Synonyms: Acacia lebbek, Mimosa lebbeck","","2140","2140","","M","DUKE","01-SEP-00","15-JUL-05"
"2362","Amomum compactum","SOL. EX MATON","Amomum","compactum","","","","","SOL. EX MATON","","","","","Zingiberaceae","Synonyms: Amomum kepulaga Sprague & Burkill","","101007","101007","","M","DUKE","08-NOV-00","15-JUL-05"
"2363","Costus speciosus","(J. KONIG) SM.","Costus","speciosus","","","","","(J. KONIG) SM.","","","","","Costaceae","Synonyms: Banksea speciosa J. Konig","","11693","11693","","M","DUKE","29-NOV-00","15-JUL-05"
"2364","Phragmites australis","(CAV.) TRIN. EX STEUD.","Phragmites","australis","","","","","(CAV.) TRIN. EX STEUD.","","","","","Poaceae","Syn:Arundo p.,A.vulgaris,P.communis,P.longivalvis,P.vulgaris","","28091","28091","","M","DUKE","08-DEC-00","15-JUL-05"
"2365","Croton lechleri","MULL. ARG.","Croton","lechleri","","","","","MULL. ARG.","","","","","Euphorbiaceae","","","411368","411368","","M","DUKE","30-DEC-00","15-JUL-05"
"2366","Lindera benzoin","(L.) BLUME","Lindera","benzoin","","","","","(L.) BLUME","","","","","Lauraceae","","","22292","22292","","M","DUKE","02-JAN-01","15-JUL-05"
"2367","Aframomum melegueta","K. SCHUM.","Aframomum","melegueta","","","","","K. SCHUM.","","","","","Zingiberaceae","Synonyms: Amomum melegueta Roscoe","","101012","101012","","M","DUKE","23-JAN-01","15-JUL-05"
"2368","Ononis spinosa","L.","Ononis","spinosa","","","","","L.","","","","","Fabaceae","","","105027","105027","","M","DUKE","24-JAN-01","15-JUL-05"
"2369","Wasabia japonica","(MIQ.) MATSUM.","Wasabia","japonica","","","","","(MIQ.) MATSUM.","","","","","Brassicaceae","Syn:Cochlearia wasabi,Eutrema japonica,E.w.,Lunaria w.,W.pun","","105482","105482","","F","DUKE","25-JAN-01","15-JUL-05"
"2370","Xylopia aethiopica","(DUNAL) A. RICH.","Xylopia","aethiopica","","","","","(DUNAL) A. RICH.","","","","","Annonaceae","","","101925","101925","","M","DUKE","16-FEB-01","15-JUL-05"
"2371","Camellia japonica","L.","Camellia","japonica","","","","","L.","","","","","Theaceae","Syn:C.j.var.hortensis,var.hozanensis,var.spontanea,&Thea j.","","8711","8711","","M","DUKE","29-APR-01","15-JUL-05"
"2372","Callicarpa americana","L.","Callicarpa","americana","","","","","L.","","","","","Lamiaceae","","","8516","8516","","M","DUKE","07-JUL-01","15-JUL-05"
"2373","Lycium barbarum","L.","Lycium","barbarum","","","","","L.","","","","","Solanaceae","Synonyms: Lycium halimifolium Mill., Lycium vulgare Dunal","","22939","22939","","M","DUKE","16-JUL-01","15-JUL-05"
"2374","Lycium chilense","BERTERO","Lycium","chilense","","","","","BERTERO","","","","","Solanaceae","","","22941","22941","","M","DUKE","16-JUL-01","15-JUL-05"
