PLNA,PLCO,AUTHOR,VALID,PLCOS
"HETEROPTERIS DUARTEANA","313026010","A.JUSS.","S","313026010"
"HETEROPTERIS EGLANDULOSA","313026011","A.JUSS.","S","313026011"
"HETEROPTERIS SPECTABILIS","313026012","MART.EX.A.JUSS.","S","313026012"
"HETEROPTERIS THYRSOIDEA","313026013","A.JUSS.","S","313026013"
"HETEROPTERIS UMBELLATA","313026014","A.JUSS.","S","313026014"
"HETEROPTERIS VERBASCIFOLIA","313026015","GRISEB.","S","313026015"
"HETEROPTERIS WARMINGIANA","313026016","GRISEB.","S","313026016"
"HETEROPTERIS XANTHOPHYLLA","313026017","A.JUSS.","S","313026017"
"BRACHYPTERYS OVATA","313027001","(CAV.) SMALL","N","313027001"
"SCHWANNIA ELEGANS","313030001","A.JUSS.","S","313030001"
"CAMAREA AFFINIS","313031001","ST.HIL.","S","313031001"
"CAMAREA ERICOIDES","313031002","ST.HIL.","S","313031002"
"GALPHIMIA GLAUCA","313044001","CAV.","Y","313044001"
"THRYALLIS LATIFOLIA","313044001","MART.","S","313044001"
"GALPHIMIA BRASILIENSIS","313044002","A.JUSS.","S","313044002"
"PTERANDRA PYROIDEA","313049001","A.JUSS.","S","313049001"
"MALPIGHIA SP.","313051000","","P","313051000"
"MALPIGHIA PUNICFOLIA","313051001","L.","","313051001"
"MALPIGHIA GLABRA","313051002","","","313051002"
"MALPIGHIA CNIDE","313051003","SPRENG.","N","313051003"
"MALPIGHIA MICROPETALA","313051004","URB.","N","313051004"
"MALPIGHIA SETOSA","313051005","SPRENG.","N","313051005"
"MALPIGHIA URENS","313051006","L.","N","313051006"
"MALPIGHIA COCCIGERA","313051007","L.","N","313051007"
"MALPIGHIA DOMINGENSIS","313051008","SMALL.","N","313051008"
"MALPIGHIA HORRIDA","313051009","","N","313051009"
"MALPIGHIA AQUIFOLIA","313051010","L.","Y","313051010"
"MALPIGHIA FUCATA","313051011","KER-GAWL.","Y","313051011"
"MALPIGHIA INFESTISSIMA","313051012","L.RICH.","L","313051012"
"MALPIGHIA LINEARIS","313051013","JACQ.","L","313051013"
"BUNCHOSIA GLANDULOSA","313052001","(CAV.) L. C. RICH.","N","313052001"
"BUNCHOSIA MEDIA","313052002","(AIT.) DC.","N","313052002"
"BUNCHOSIA NITIDA","313052003","(JACQ.) L. C. RICH.","N","313052003"
"DICELLA HOLOSERICEA","313053001","A.JUSS.","S","313053001"
"BYRSONIMA CRASSIFOLIA","313055001","(L.) HBK.","","313055001"
"BYRSONIMA SPICATA","313055002","(CAV.) HBK.","N","313055002"
"BYRSONIMA LUCIDA","313055003","(MILL.) L.C.RICH.","N","313055003"
"BYRSONIMA CLAUSSENIANA","313055004","A.JUSS.","S","313055004"
"BYRSONIMA COCCOLOBIFOLIA","313055005","HBK.","S","313055005"
"BYRSONIMA INTERMEDIA","313055006","A.JUSS.","S","313055006"
"BYRSONIMA LANCIFOLIA","313055007","A.JUSS.","S","313055007"
"BYRSONIMA PACHYPHYLLA","313055008","A.JUSS.","S","313055008"
"BYRSONIMA PSILANDRA","313055009","GRISEB.","S","313055009"
"BYRSONIMA SERICEA","313055010","DC.","S","313055010"
"BYRSONIMA VACCINIFOLIA","313055011","A.JUSS.","S","313055011"
"BYRSONIMA VERBASCIFOLIA","313055012","RICH.EX.JUSS.","S","313055012"
"STIGMAPHYLLON SP.","313062000","","N","313062000"
"STIGMAPHYLLON PUBERUM","313062001","(L. C. RICH.) A. JUSS.","N","313062001"
"STIGMAPHYLLON PERIPLOCIFOLIUM","313062002","(DESF.) JUSS.","N","313062002"
"STIGMAPHYLLON ANGULOSUM","313062003","(L.E A. JUSS.","N","313062003"
"STIGMAPHYLLON TOMENTOSUM","313062004","(DESF.)NDZ.","Y","313062004"
"STIGMAPHYLLON LINDENIANUM","313062005","","P","313062005"
"STIGMAPHYLLON PSEUDOPUBERUM","313062006","","P","313062006"
"STIGMAPHYLLON EMARGINATUM","313062007","","P","313062007"
"STIGMAPHYLLON ACUMINATUM","313062008","A.JUSS.","S","313062008"
"STIGMAPHYLLUM AFFINE","313062009","A.JUSS.","S","313062009"
"TRIGONIA SIMPLEX","314001001","WARM.","S","314001001"
"SALVERTIA CONVALLARIAODORA","315001001","A.ST.HIL.","S","315001001"
"VOCHYSIA SP.","315002000","","P","315002000"
"VOCHYSIA HONDURENSIS","315002001","","P","315002001"
"VOCHYSIA ELLIPTICA","315002002","MART.","S","315002002"
"VOCHYSIA RUFA","315002003","MART.","S","315002003"
"VOCHYSIA THYRSOIDEA","315002004","POHL","S","315002004"
"VOCHYSIA TUCANORUM","315002005","MART.","S","315002005"
"CALLISTHENE MINOR","315003001","MART.","S","315003001"
"QUALEA SP.","315004000","","S","315004000"
"QUALEA CORDATA","315004001","(MART.)SPRENG. Z","S","315004001"
"QUALEA GRANDIFLORA","315004002","MART.","S","315004002"
"QUALEA JUNDIAHY","315004003","WARM.","S","315004003"
"QUALEA MULTIFLORA","315004004","MART.","S","315004004"
"QUALEA PARVIFLORA","315004005","MART.","S","315004005"
"POLYGALACEAE","317000000","","","317000000"
"POLYGALA PENAEA","317001001","L","N","317001001"
"POLYGALA PANICULATA","317001002","L.","N","317001002"
"POLYGALA ANGUSTIFOLIA","317001003","KNUTH","N","317001003"
"POLYGALA GRANDIFLORA","317001004","WALT.","Y","317001004"
"POLYGALA CHINENSIS","317001005","L.","Y","317001005"
"POLYGALA LONGICAULIS","317001006","","P","317001006"
"POLYGALA SECURIDACA","317001007","","P","317001007"
"POLYGALA BRIZOIDES","317001008","ST.-HIL.","H","317001008"
"POLYGALA LEPTOCAULIS","317001009","TORREY&GRAY","H","317001009"
"POLYGALA ANGULATA","317001010","DC.","S","317001010"
"POLYGALA ATROPURPUREA","317001011","A.ST.HIL.","S","317001011"
"POLYGALA FIMBRIATA","317001012","A.W.BENN.","S","317001012"
"POLYGALA GLABRA","317001013","A.W.BENN.","S","317001013"
"POLYGALA HEBECLADA","317001014","DC.","S","317001014"
"POLYGALA HIRSUTA","317001015","A.ST.HIL.","S","317001015"
"POLYGALA HYGROPHILA","317001016","HBK.","S","317001016"
"POLYGALA LAGOANA","317001017","A.W.BENN.","S","317001017"
"POLYGALA LANCIFOLIA","317001018","A.ST.HIL.","S","317001018"
"POLYGALA SERPENTARIA","317001019","ECKL.&ZEYH.","S","317001019"
"POLYGALA SUBTILIS","317001020","HBK.","S","317001020"
"POLYGALA TENUIS","317001021","DC.","S","317001021"
"POLYGALA TIMOUTOU","317001022","AUBL.","S","317001022"
"POLYGALA VERTICILLATA","317001023","L.","S","317001023"
"POLYGALA VIOLACEA","317001024","AUBL.","S","317001024"
"POLYGALA VIOLOIDES","317001025","A.ST.HIL.","S","317001025"
"POLYGALA WARMINGIANA","317001026","A.W.BENN.","S","317001026"
"SLOANEA SP.","317002000","","S","317002000"
"BREDEMEYERA FLORIBUNDA","317002001","WILLD.","S","317002001"
"BREDEMEYERA LAURIFOLIA","317002002","KLOTZSCH EX.A.W.BENN.","S","317002002"
"SECURIDACA VIRGATA","317003001","SW.","N","317003001"
"SECURIDACA DIVERSIFOLIA","317003002","(L.)BLAKE","H","317003002"
"SECURIDA CA TENUIFOLIA","317003003","CHODAT","H","317003003"
"SECURIDACA RIVINAEFOLIA","317003004","A.ST.HIL.","S","317003004"
"MONNINA COSTARICENSIS","317004001","CHOD.EX.TH.DUR.&PITT.","","317004001"
"MONNINA SYLVATICA","317004002","","P","317004002"
"MONNINA XALAPENSIS","317004003","H.B.K.","H","317004003"
"MONNINA STENOPHYLLA","317004004","A.ST.HIL.","S","317004004"
"TRIPLARIS MELAENODENDRON","317027001","","","317027001"
"STEPHANOPODIUM ENGLERI","319002001","BAILL.","S","319002001"
"VICIA OBSCURA","323418032","VOG.","S","323418032"
"EUPHORBIACEAE","328000000","","","328000000"
"ANDRACHNE TELEPHIODES","328001001","","","328001001"
"SAVIA SESSILIFLORA","328003001","(SW.) WILLD.","N","328003001"
"SECURINEGA ACIDOTON","328012001","(L.) FAWC.","N","328012001"
"PHYLLANTHUS SP.","328014000","SCHUM & THONN.","N","328014000"
"PHYLLANTHUS ACIDUS","328014001","(L.) SKEELS","","328014001"
"EMBLICA OFFICINALIS","328014002","GAERTN.","","328014002"
"PHYLLANTHUS EMBLICA","328014002","","","328014002"
"PHYLLANTHUS FRATERNUS","328014003","","","328014003"
"PHYLLANTHUS NIRURI","328014004","","","328014004"
"PHYLLANTHUS AMARUS","328014005","DCHUM & THONN.","","328014005"
"PHYLLANTHUS TENELLUS","328014006","","","328014006"
"PHYLLANTHUS MONTEVIDENSIS","328014007","","","328014007"
"PHYLLANTHUS URINARIA","328014008","L.","","328014008"
"PHYLLANTHUS STIPULATUS","328014009","(RAF.) WEBST.","N","328014009"
"PHYLLANTHUS FUERTESII","328014010","URB.","N","328014010"
"PHYLLANTHUS MADERASPATENSIS","328014010","L.","Y","328014010"
"PHYLLANTHUS EPIPHYLLANTHUS","328014012","L.","L","328014012"
"PHYLLANTHUS DEBILIS","328014013","KLEIN","L","328014013"
"PHYLLANTHUS CONAMI","328014014","","P","328014014"
"PHYLLANTHUS DIFFUSES","328014015","","P","328014015"
"PHYLLANTHUS ACUMINATUS","328014016","VAHL","S","328014016"
"PHYLLANTHUS HYSSOPIFOLIOIDES","328014017","HBK.","S","328014017"
"PHYLLANTHUS LAGOENSIS","328014018","MUELL.ARG.","S","328014018"
"PHYLLANTHUS LATHYROIDES","328014019","HBK.","S","328014019"
"PHYLLANTHUS LEPTOCAULOS","328014020","MUELL.ARG.","S","328014020"
"PHYLLANTHUS NOBILIS","328014021","MUELL.ARG.","S","328014021"
"PHYLLANTHUS SIMPLICICAULIS","328014022","MUELL.ARG.","S","328014022"
"BREYNIA DISTICHA","328018001","FORST.FIL.","Y","328018001"
"SAUROPUS ANDROGYNUS","328021001","","","328021001"
"DRYPETES ALBA","328024001","POIT.","N","328024001"
"DRYPETES LATERIFLORA","328024002","(SW.) KRUG & URB.","N","328024002"
"DRYPETES GLAUCA","328024003","VAHL","Y","328024003"
"DRYPETES AFZELII","328024004","","P","328024004"
"HIERONYMA POASANA","328033001","STANDLEY","","328033001"
"HYERONYMA ALCHORNOIDES","328033001","ALLEM.","S","328033001"
"HYERONYMA FERRUGINEA","328033002","TUL.","S","328033002"
"BACCAUREA MOTLEYANA","328039001","","","328039001"
"BACCAUREA RACEMOSA","328039002","","","328039002"
"BACCAUREA RAMIFLORA","328039003","","","328039003"
"ANTIDESMA BUNIUS","328042001","","","328042001"
"ANTIDESMA DALLACHYANUM","328042002","","P","328042002"
"ANTIDESMA NITIDUM","328042003","","P","328042003"
"UAPACA GUINEENSIS","328044001","","","328044001"
"UAPACA KIRKIANA","328044002","","","328044002"
"BISCHOFIA JAVANICA","328052001","","","328052001"
"BRIDELIA MONOICA","328060001","","","328060001"
"CROTON SP.","328063000","","P","328063000"
"CROTON TIGLIUM","328063001","","","328063001"
"CROTON HIRTUS","328063002","","","328063002"
"CROTON DISCOLOR","328063003","WILLD.","","328063003"
"CROTON RIGIDUS","328063004","","","328063004"
"CROTON LINEARIS","328063005","JACQ.","","328063005"
"CROTON LOBATUS","328063006","L.","N","328063006"
"CROTON ORIGANIFOLIUS","328063007","LAM.","N","328063007"
"CROTON CORYLIFOLIUS","328063008","LAM.","N","328063008"
"CROTON HUMILIS","328063009","L.","N","328063009"
"CROTON SIDIFOLIUS","328063010","LAM.","N","328063010"
"CROTON CORONATUS","328063011","URB.","N","328063011"
"CROTON ASTROPHORUS","328063012","URB.","N","328063012"
"CROTON MOUSTIQUENSIS","328063013","URB.","N","328063013"
"CROTON PALLIDUS","328063014","MUELL. ARG.","N","328063014"
"CROTON MANSFELDII","328063015","URB.","N","328063015"
"CROTON POITAEI","328063016","URB.","N","328063016"
"CROTON BETULINUS","328063017","VAHL","Y","328063017"
"CROTON VAILLANTII","328063018","GEISEL.","Y","328063018"
"CROTON HEMIARGYREUS","328063019","MUELL.ARG.","Y","328063019"
"CROTON ASTROITES","328063020","DRYAND.","L","328063020"
"CROTON LUCIDUS","328063021","L.","L","328063021"
"CROTON CILIATOGLANDULOSUS","328063022","","P","328063022"
"CROTON CORTESIANUS","328063023","","P","328063023"
"CROTON GLABELLUS","328063024","","P","328063024"
"CROTON GUATEMALENSIS","328063025","","P","328063025"
"CROTON PANAMENSIS","328063026","","P","328063026"
"CROTON PUNCTATUS","328063027","","P","328063027"
"CROTON AGROPHILUS","328063028","MUELL.ARG.","S","328063028"
"CROTON ALBELLUS","328063029","MUELL.ARG.","S","328063029"
"CROTON ANTISIPHYLITICUS","328063030","MART.","S","328063030"
"CROTON CAPERONIAEFOLIUS","328063031","MUELL.ARG.","S","328063031"
"CROTON CERINO-DENTATUS","328063032","MUELL.ARG.","S","328063032"
"CROTON COMPRESSUS","328063033","LAM.","S","328063033"
"CROTON GLANDULOSUS","328063034","L.","S","328063034"
"CROTON GRACILIPES","328063035","BAILL.","S","328063035"
"CROTON HORRIDULUS","328063036","BAILL.","S","328063036"
"CROTON LAGOENSIS","328063037","MUELL.ARG.","S","328063037"
"CROTON LEPTOBOTRYUS","328063038","MUELL.ARG.","S","328063038"
"CROTON MEDIANS","328063039","MUELL.ARG.","S","328063039"
"CROTON ODONTADENIUS","328063040","MUELL.","S","328063040"
"CROTON PERAFFINIS","328063041","MUELL.ARG.","S","328063041"
"CROTON PIPTOCALYX","328063042","MUELL.ARG.","S","328063042"
"CROTON SCLEROCALYX","328063043","MUELL.ARG.","S","328063043"
"CROTON URUCURANA","328063044","BAILL.","S","328063044"
"CROTON VELAME","328063045","MUELL.ARG.","S","328063045"
"CROTON WARMINGII","328063046","MUELL.ARG.","S","328063046"
"JULOCROTON ARGENTEUS","328064001","","P","328064001"
"JULOCROTON ARGENTEUS","328064001","","P","328064001"
"JULOCROTON HUMILIS","328064002","DIDR.","S","328064002"
"JULOCROTON TRIQUETER","328064003","BAILL.","S","328064003"
"CHROZOPHORA TINCTORIA","328070001","","","328070001"
"ARGYTHAMNIA CANDICANS","328075001","SW.","N","328075001"
"ARGYTHAMNIA HAITIENSIS","328075002","(URB.) INGRAM","Y","328075002"
"ARGITHAMNIA ANISOTRICHA","328075003","MUELL.ARG.","S","328075003"
"CAPERONIA BUETTNERIACEA","328076001","","","328076001"
"CAPERONIA PALUSTRIS","328076002","(L.) ST. HIL.","N","328076002"
"CAPERONIA CASTANEIFOLIA","328076003","","P","328076003"
"CAPERONIA STENOPHYLLA","328076004","MUELL.ARG.","S","328076004"
"MICROCOCCA MERCURIALIS","328082001","","","328082001"
"ERYTHROCOCCA BONGESIS","328083001","","","328083001"
"MERCURIALIS ANNUA","328086001","","","328086001"
"BERNARDIA DICHOTOMA","328089001","(WILLD.) MUELL. ARG.","N","328089001"
"BERNARDIA MULTICAULIS","328089002","MUELL.ARG.","S","328089002"
"TREWIA NUDIFLORA","328099001","L.","Y","328099001"
"ALCHORNEA LATIFOLIA","328103001","SW.","N","328103001"
"ALCHORNEA CORDATA","328103002","MUELL.ARG.","S","328103002"
"ALCHORNEA IRICURANA","328103003","CASAR.","S","328103003"
"ADELIA RICINELLA","328112001","L.","N","328112001"
"ADELIA BARBINERVIS","328112002","","P","328112002"
"MACARANGA SP.","328115000","","","328115000"
"MACARANGA JAVANICA","328115001","","","328115001"
"MACARANGA TRILOBA","328115002","","","328115002"
"ACALYPHA ALLENA","328122001","","","328122001"
"ACALYPHA AUSTRALIS","328122002","","","328122002"
"ACALYPHA OSTRYAEFOLIA","328122003","RIDD.","","328122003"
"ACALYPHA INDICA","328122004","","","328122004"
"ACALYPHA ALOPECUROIDES","328122005","JACQ.","","328122005"
"ACALYPHA SETOSA","328122006","A.RICH.","N","328122006"
"ACALYPHA CHAMAEDRIFOLIA","328122007","(LAM.) MUELL. ARG.","N","328122007"
"ACALYPHA POIRETII","328122008","SPRENG.","N","328122008"
"ACALYPHA PORTORICENSIS","328122009","MUELL.ARG.","Y","328122009"
"ACALYPHA MALABARICA","328122010","MUELL.ARG.","Y","328122010"
"ACALYPHA ARVENSIS","328122011","","P","328122011"
"ACALYPHA PSEUDOALOPECUROIDES","328122012","","P","328122012"
"ACALYPHA FOURNIERI","328122013","","P","328122013"
"ACALYPHA HISPIDA","328122014","","P","328122014"
"ACALYPHA WILKESIANA","328122015","","P","328122015"
"ACALYPHA CILIATA","328122016","","","328122016"
"ACALYPHA CLAUSSENII","328122017","U","S","328122017"
"ACALYPHA DIMORPHA","328122018","MUELL.ARG.","S","328122018"
"ACALYPHA GRACILIS","328122019","SPRENG.","S","328122019"
"ACALYPHA LAGOENSIS","328122020","MUELL.ARG.","S","328122020"
"ACALYPHA MACROSTACHYA","328122021","JACQ.","S","328122021"
"ACALYPHA MULTICAULIS","328122022","MUELL.ARG.","S","328122022"
"ACALYPHA VARIABILIS","328122024","KLOTZSCH,EX.BAILL.","S","328122024"
"ACALYPHA VILLOSA","328122025","JACQ.","S","328122025"
"ACALYPHA BREVIPES","328122026","MUELL.ARG.","S","328122026"
"TETRACARPIDIUM CONOPHORUM","328129001","","","328129001"
"FRAGARIOPSIS WARMINGII","328131001","U","S","328131001"
"TRAGIA INVOLUCRATA","328131001","","","328131001"
"TRAGIA VOLUBILIS","328131002","L.","Y","328131002"
"TRAGIA AMOENA","328131003","MUELL.ARG.","S","328131003"
"TRAGIA LAGOENSIS","328131004","MUELL.ARG.","S","328131004"
"TRAGIA SELLOWIANA","328131005","MUELL.ARG.","S","328131005"
"TRAGIA UBERABANA","328131006","MUELL.ARG.","S","328131006"
"PLUKENETIA ANGUSTIFOLIA","328136001","","P","328136001"
"PLUCKNETIA TAMNOIDES","328136002","U","S","328136002"
"DALECHAMPIA SCANDENS","328137001","L.","N","328137001"
"DALECHAMPIA PANAMENSIS","328137002","","P","328137002"
"DALECHAMPIA PENTAPHYLLA","328137003","LAM.","S","328137003"
"DALECHAMPIA STIPULACEA","328137004","MUELL.ARG.","S","328137004"
"DALECHAMPIA TRIPHYLLA","328137005","LAM.","S","328137005"
"PERA GLABRATA","328138001","POEPP.EX.BAILL.","S","328138001"
"PERA OBOVATA","328138002","BAILL.","S","328138002"
"RICINUS COMMUNIS","328139001","L.","","328139001"
"ALEURITES SP.","328143000","","","328143000"
"ALEURITES FORDII","328143001","HEMSL.","","328143001"
"ALEURITES MOLUCCANA","328143002","","","328143002"
"ALEURITES MONTANA","328143003","","","328143003"
"ALEURITES TRISPERMA","328143004","BLANCO","Y","328143004"
"ALEURITES TRILOBA","328143005","","P","328143005"
"GARCIA NUTANS","328145001","","P","328145001"
"JATROPHA GOSSYPIFOLIA","328148001","L.","","328148001"
"JATROPHA CURCAS","328148002","L.","","328148002"
"JATROPHA MULTIFIDA","328148003","L.","N","328148003"
"JATROPHA HERNANDIIFOLIA","328148004","VENT.","Y","328148004"
"JATROPHA INTEGERRIMA","328148005","JACQ.","Y","328148005"
"JATROPHA PODAGRICA","328148006","HOOK.","Y","328148006"
"JATROPHA URENS","328148007","L.","S","328148007"
"MICRANDRA MINOR","328150001","","","328150001"
"HEVEA BENTHAMIANA","328151001","","","328151001"
"HEVEA BRASILIENSIS","328151002","","","328151002"
"HEVEA SPRUCEANA","328151003","","P","328151003"
"MANIHOT DICHOTOMA","328159001","","","328159001"
"MANIHOT ESCULENTA","328159002","CRANTZ","","328159002"
"MANIHOT GLAZIOVII","328159003","CRANTZ","","328159003"
"MANIHOT BRACHYLOBA","328159004","MUELL. ARG.","N","328159004"
"MANIHOT GUALENSIS","328159005","","P","328159005"
"MANIHOT GRACILIS","328159006","POHL","S","328159006"
"MANIHOT GRANDIFLORA","328159007","MUELL.ARG.","S","328159007"
"MANIHOT INTERCEDENS","328159008","MUELL.ARG.","S","328159008"
"MANIHOT JANIPHOIDES","328159009","MUELL.ARG.","S","328159009"
"MANIHOT LAGOENSIS","328159010","MUELL.ARG.","S","328159010"
"MANIHOT PALMATA","328159011","MUELL.ARG.","S","328159011"
"MANIHOT PEDICELLARIS","328159012","MUELL.ARG.","S","328159012"
"MANIHOT PUBESCENS","328159013","POHL","S","328159013"
"MANIHOT RIGIDULA","328159014","MUELL.ARG.","S","328159014"
"MANIHOT SINUATA","328159015","POHL","S","328159015"
"MANIHOT TOMENTOSA","328159016","POHL","S","328159016"
"MANIHOT TRIPARTITA","328159017","MUELL.ARG.","S","328159017"
"MANIHOT TRIPHYLLA","328159018","POHL","S","328159018"
"MANIHOT WARMINGII","328159020","MUELL.ARG.","S","328159020"
"CODIAEUM SP.","328169000","","P","328169000"
"CODIAEUM VARIEGATUM","328169001","","","328169001"
"CODIAEUM VARIEGATUM","328169001","","P","328169001"
"RICINODENDRON HEUDELOTII","328178001","","","328178001"
"OMPHALEA OLEIFERA","328187001","","P","328187001"
"MABEA FISTULIFERA","328188001","MART.","S","328188001"
"GYMNANTHES MARGINATA","328191001","BAILL.","S","328191001"
"SEBASTIANA CORNICULATA","328191001","(VAHL.) MUELL. ARG.","N","328191001"
"SEBASTIANIA BRASILIENSIS","328191002","SPRENG.","S","328191002"
"SEBASTIANIA YPANEMENSIS","328191003","MUELL.ARG.","S","328191003"
"SEBASTIANIA DIMORPHOCALYX","328191004","MUELL.ARG.","S","328191004"
"SEBASTIANIA RHOMBIFOLIA","328191005","MUELL.ARG.","S","328191005"
"SEBASTIANIA SERRATA","328191006","MUELL.ARG.","S","328191006"
"SEBASTIANIA SERRULATA","328191007","MUELL.ARG.","S","328191007"
"EXCOECARIA SP.","328193000","","S","328193000"
"EXCOECARIA WARMINGII","328193001","MUELL.ARG.","S","328193001"
"STILLINGIA OPPOSITIFOLIA","328197001","BAILL.","S","328197001"
"SAPIUM SEBIFERUM","328198001","","","328198001"
"SAPIUM JAMAICENSE","328198002","SW.","N","328198002"
"SAPIUM LAUROCERASUM","328198003","DESF.","Y","328198003"
"SAPIUM MACROCARPUM","328198004","","P","328198004"
"MAPROUNEA BRASILIENSIS","328200001","A.ST.HIL.","S","328200001"
"HIPPOMANE MANCINELLA","328201001","L.","L","328201001"
"ACTINOSTEMON LAGOENSIS","328203001","(MUELL.ARG.)PAX Z","S","328203001"
"ACTINOSTEMON LASIOCARPOIDES","328203002","PAX","S","328203002"
"ACTINOSTEMON SPARSIFOLIUS","328203003","(MUELL.ARG.)PAX Z","S","328203003"
"ACTINOSTEMON VERTICILLATUS","328203004","(KLOTZSCH)BAILL. Z","S","328203004"
"HURA CREPITANS","328208001","L.","","328208001"
"EUPHORBIA SP.","328213000","","","328213000"
"EUPHORBIA ANTISYPHILITICA","328213001","","","328213001"
"EUPHORBIA CHAMAESYCE","328213002","","","328213002"
"EUPHORBIA GENICULATA","328213003","","","328213003"
"EUPHORBIA ESULA","328213004","","","328213004"
"EUPHORBIA GRANULATA","328213005","","","328213005"
"EUPHORBIA HELIOSCOPIA","328213006","","","328213006"
"EUPHORBIA HETERADENA","328213007","","","328213007"
"EUPHORBIA HETEROPHYLLA","328213008","L.","","328213008"
"EUPHORBIA HIRTA","328213009","","","328213009"
"EUPHORBIA HYSSOPIFOLIA","328213010","L.","Y","328213010"
"EUPHORBIA MACULATA","328213011","","","328213011"
"EUPHORBIA MICROMERA","328213012","","","328213012"
"EUPHORBIA PORTULACOIDES","328213013","","","328213013"
"EUPHORBIA HYPERICIFOLIA","328213014","","","328213014"
"EUPHORBIA OPTHALMICA","328213015","","","328213015"
"EUPHORBIA PROSTRATA","328213016","","","328213016"
"EUPHORBIA PULCHERRIMA","328213017","WILLD.","Y","328213017"
"EUPHORBIA HIRSUTA","328213018","","","328213018"
"EUPHORBIA CHAMISSONIS","328213019","","","328213019"
"EUPHORBIA LACTEA","328213020","HAW.","N","328213020"
"EUPHORBIA TRIGONA","328213021","HAW.","N","328213021"
"EUPHORBIA TIRUCALLI","328213022","L.","N","328213022"
"EUPHORBIA TUERCKHEIMII","328213023","URB.","N","328213023"
"EUPHORBIA CYATHOPHORA","328213024","MURR.","Y","328213024"
"EUPHORBIA COTINIFOLIA","328213025","L.","Y","328213025"
"EUPHORBIA THYMIFOLIA","328213026","L.","Y","328213026"
"EUPHORBIA EXIGUA","328213027","L.","Y","328213027"
"EUPHORBIA PEPLUS","328213028","L.","Y","328213028"
"EUPHORBIA CYPARISSIAS","328213029","L.","Y","328213029"
"EUPHORBIA STEPPOSA","328213030","ZOZ","Y","328213030"
"EUPHORBIA PETIOLARIS","328213031","SIMS","L","328213031"
"EUPHORBIA GRAMINEA","328213032","","P","328213032"
"EUPHORBIA DENSIFLORA","328213033","","P","328213033"
"EUPHORBIA BRASILIENSIS","328213034","LAM.","S","328213034"
"EUPHORBIA CAECORUM","328213035","MART.EX.BOISS.","S","328213035"
"EUPHORBIA COMOSA","328213036","VELL.","S","328213036"
"EUPHORBIA FOLIOLOSA","328213037","BOISS.","S","328213037"
"EUPHORBIA HIRTELLA","328213038","BOISS.","S","328213038"
"EUPHORBIA PILULIFERA","328213039","L.","S","328213039"
"EUPHORBIA SCIADOPHILA","328213040","BOISS.","S","328213040"
"EUPHORBIA SETOSA","328213041","MUELL.ARG.","S","328213041"
"EUPHORBIA ZONOSPERMA","328213042","MUELL.ARG.","S","328213042"
"PEDILANTHUS TITHYMALOIDES","328216001","(L.) POIT.","N","328216001"
"PEDILANTHUS TITHYMALOIDES VAR. ANGUSTIFOL","328216002","(POIT.)DRESSLER00001","Y","328216002"
"VAUPESIA CATARACTARUM","328245001","","","328245001"
"CNIDOSCOLUS TEXANUS","328246001","","","328246001"
"CNIDOSCOLUS ACONITIFOLIUM","328246002","(MILL.)I.M.JOHNST.","Y","328246002"
"CHAMAESYCE HYSSOPIFOLIA","328248001","(L.) SMALL","","328248001"
"CHAMAESYCE PROSTRATA","328248002","(AIT.) SMALL","N","328248002"
"CHAMAESYCE HYPERICIFOLIA","328248003","(L.) MILLSP.","N","328248003"
"CHAMAESYCE HIRTA","328248004","(L.) MILLSP.","N","328248004"
"CHAMAESYCE THYMIFOLIA","328248005","(L.) MILLSP.","N","328248005"
"CHAMAESYCE BERTERIANA","328248006","(BALB.) MILLSP.","N","328248006"
"CHAMAESYCE SERPENS","328248007","(HBK.) SMALL.","N","328248007"
"CHAMAESYCE OPHTHALMICA","328248008","(PERS.) BURCH","N","328248008"
"CHAMAESYCE ADENOPTERA","328248009","(BERTOL.) SMALL.","N","328248009"
"CHAMAESYCE URBANII","328248010","MILLSP.","Y","328248010"
"CHAMAESYCE TURPINII","328248011","(BOISS.)MILLSP.","Y","328248011"
"CHAMAECYSE BUXIFOLIA","328248012","(LAM.)SMALL","L","328248012"
"CHAMAESYCE ARTICULATA","328248012","(AUBL.)BRITT.","L","328248012"
"CHAMAESYCE GLOMERIFERA","328248013","","P","328248013"
"CHAMAESYCE BUXIFOLIA","328248014","","B","328248014"
"MARGARITARIA NOBILIS","328249001","L.F.","Y","328249001"
"ATERAMNUS LUCIDUS","328250001","(SW.)ROTHM.","Y","328250001"
"CALLITRICHE HETEROPHYLLA","330001001","","N","330001001"
"CALLITRICHE ANTARCTICA","330001002","ENGELM.","A","330001002"
"BUXACEAE","331000000","","","331000000"
"SIMMONDSIA CHINENSIS","331007001","","","331007001"
"EMPETRUM RUBRUM","336002001","VAHL.EX WILLD.","A","336002001"
"LIMNANTHACEAE","337000000","","","337000000"
"LIMNANTHES ALBA","337001001","","","337001001"
"LIMNANTHES BAKERI","337001002","","","337001002"
"LIMNANTHES DOUGLASII","337001003","","","337001003"
"ANACARDIACEAE","338000000","","","338000000"
"BUCHANANIA LATIFOLIA","338001001","","","338001001"
"MANGIFERA SP.","338003000","","Y","338003000"
"MANGIFERA INDICA","338003001","L.","","338003001"
"MANGIFERA CAESIA","338003002","","","338003002"
"MANGIFERA FOETIDA","338003003","","","338003003"
"MANGIFERA ODORATA","338003005","","","338003005"
